request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_54,3613.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000.00 minimum protected."
request_55,141067.31,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. This leaves at least INR 124,300.00 available."
request_56,688.97,affordable_with_plan,partial_payment,2025-02-03:688.97|2025-02-15:192.59,2025-02-15,none,"Pay USD 688.97 today and the remaining USD 192.59 on 2025-02-15. This completes the full request and keeps the USD 2,100.00 minimum protected."
request_57,14429.3,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446.00 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42,700.00 minimum."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000.00 today. This keeps the IDR 14,433,900.00 minimum available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This leaves at least INR 132,600.00 available."
request_60,103.39,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-04. None of the available options keeps the USD 400.00 minimum protected.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17. This leaves at least ZAR 36,700.00 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This keeps the USD 1,300.00 minimum available over the next 90 days."
request_63,53033.65,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-17. None of the available options keeps the INR 153,500.00 minimum protected."
request_64,49095.62,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,"Use 3 installments of INR 22,082.67, starting 2024-06-11. This leaves at least INR 36,100.00 available."
request_65,6638.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15,500.00 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200.00 today. This keeps the INR 80,700.00 minimum available over the next 90 days."
request_67,381.45,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094.00 in full on 2024-11-15. Paying earlier would take the balance below the USD 1,200.00 minimum."
request_68,1391.55,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1,500.00 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This keeps the EUR 700.00 minimum available over the next 90 days.
request_70,49461.07,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900.00 in full on 2025-02-15. Paying earlier would take the balance below the INR 115,000.00 minimum."
request_71,1225160.13,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8,884,800.00 minimum protected."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330.00 today. This keeps the ZAR 12,200.00 minimum available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400.00 today. This keeps the INR 103,200.00 minimum available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010.00 today. This keeps the ZAR 21,900.00 minimum available over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09. This leaves at least ZAR 39,000.00 available."
request_76,700.78,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800.00 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700.00 today. This keeps the INR 82,200.00 minimum available over the next 90 days."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200.00 today. This keeps the INR 55,200.00 minimum available over the next 90 days."
request_79,404.47,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 2024-11-01. None of the available options keeps the EUR 1,000.00 minimum protected."
request_80,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-21. None of the available options keeps the INR 121,300.00 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076.00 today. This keeps the USD 1,600.00 minimum available over the next 90 days."
request_82,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,100.00 minimum protected."
request_83,11665.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. None of the available options keeps the INR 37,800.00 minimum protected."
request_84,35871.89,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Pay INR 95,400.00 in full on 2026-05-15. Paying earlier would take the balance below the INR 91,300.00 minimum."
request_85,1116545.35,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6,396,300.00 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300.00 today. This keeps the INR 84,900.00 minimum available over the next 90 days."
request_87,38643.27,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 185,900.00 minimum protected."
request_88,10701.68,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This leaves at least ZAR 25,800.00 available."
request_89,10377242.87,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. This leaves at least IDR 12,534,700.00 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 today. This keeps the ZAR 7,600.00 minimum available over the next 90 days."
request_91,677.06,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 2024-11-15. Paying earlier would take the balance below the EUR 2,100.00 minimum."
request_92,10945.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-14. None of the available options keeps the ZAR 28,100.00 minimum protected."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This keeps the USD 1,900.00 minimum available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572.00 today. This keeps the EUR 600.00 minimum available over the next 90 days.
request_95,14826.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-14. None of the available options keeps the INR 145,500.00 minimum protected."
request_96,77141.12,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. This leaves at least INR 56,500.00 available."
request_97,1473.04,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 29,700.00 available."
request_98,9249.46,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Pay ZAR 27,148.00 in full on 2025-09-15. Paying earlier would take the balance below the ZAR 30,000.00 minimum."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062.00 today. This keeps the ZAR 49,100.00 minimum available over the next 90 days."
request_100,28603.68,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. This leaves at least ZAR 32,500.00 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500.00 today. This keeps the INR 187,400.00 minimum available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900.00 available."
request_103,7376.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-07. None of the available options keeps the INR 125,500.00 minimum protected."
request_104,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 24,700.00 minimum protected."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500.00 today. This keeps the INR 73,900.00 minimum available over the next 90 days."
request_106,456.07,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,200.00 minimum."
request_107,920.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1,600.00 minimum protected."
request_108,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24,100.00 minimum protected."
request_109,829.98,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700.00 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 11,200.00 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000.00 today. This keeps the IDR 23,022,800.00 minimum available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This keeps the EUR 500.00 minimum available over the next 90 days.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,"Pay INR 36,500.00 today. This keeps the INR 82,300.00 minimum available over the next 90 days."
request_114,32096.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-14. None of the available options keeps the INR 113,400.00 minimum protected."
request_115,14444.65,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Pay INR 80,500.00 in full on 2024-10-15. Paying earlier would take the balance below the INR 38,800.00 minimum."
request_116,12651.78,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the INR 80,300.00 minimum protected."
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880.00 today. This keeps the EUR 1,000.00 minimum available over the next 90 days."
request_118,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-08. None of the available options keeps the EUR 600.00 minimum protected.
request_119,58971.58,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 2025-05-18. This leaves at least INR 151,200.00 available."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000.00 today. This keeps the IDR 20,050,300.00 minimum available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This keeps the USD 800.00 minimum available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This leaves at least IDR 12,588,500.00 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000.00 today. This keeps the IDR 18,091,200.00 minimum available over the next 90 days."
request_124,1395.81,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. This leaves at least EUR 1,600.00 available."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468.00 today. This keeps the ZAR 11,300.00 minimum available over the next 90 days."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600.00 today. This keeps the INR 129,700.00 minimum available over the next 90 days."
request_127,10322.4,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Pay ZAR 23,980.00 in full on 2024-09-15. Paying earlier would take the balance below the ZAR 41,000.00 minimum."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168.00 today. This keeps the ZAR 42,600.00 minimum available over the next 90 days."
request_129,154.39,not_affordable,not_recommended,none,2026-06-15,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800.00 minimum protected.
request_130,443.87,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 2025-02-15. Paying earlier would take the balance below the USD 1,400.00 minimum."
request_131,1179.38,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,100.00 available."
request_132,185.35,not_affordable,not_recommended,none,,none,"Based on your current balance and required minimum reserve, the requested amount of USD 379.86 is not affordable and the transaction is not recommended. A safe amount to spend today is USD 185.35 without altering your spending habits."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"The requested amount of IDR 15,770,000.00 is currently not affordable, and the proposed method is not recommended. You can safely afford the full amount starting on 2024-03-07 while maintaining your minimum balance of IDR 9,986,200.00."
request_134,5479671.18,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"The requested amount of IDR 21,831,000.00 is not affordable today, as you need to maintain a minimum balance of IDR 15,902,500.00. However, it will become fully affordable to pay in a single installment on October 15, 2025, with no required spending changes."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,"You can afford the requested USD 304.80 today as a full payment without needing any spending changes. The scheduled payment date is July 6, 2026."
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"You can afford the full payment of USD 560.40 today, June 3, 2024, without making any spending changes. This purchase leaves your account at your required minimum balance of USD 1,100.00."
request_137,34219.75,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"The requested amount of INR 80,100.00 is currently unaffordable while maintaining your minimum balance of INR 71,800.00, but it will become fully affordable on January 15, 2026."
request_138,847.74,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"The requested amount of EUR 1,256.94 is affordable using an installment plan of three payments of EUR 435.74 due on April 7, May 5, and June 2, 2026. This plan maintains your minimum balance of EUR 2,300.00 without requiring any spending changes."
request_139,1415.93,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"The requested USD 2,316.00 is affordable using a three-installment plan of USD 802.88 due on September 7, October 8, and November 8, 2024, requiring no spending changes. Paying in full is available starting October 15, 2024."
request_140,2699.75,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 62,832.00 is currently unaffordable and not recommended without a payment plan or spending changes. You can safely spend up to ZAR 2,699.75 today while maintaining the required minimum balance of ZAR 21,600.00."
request_141,33943.54,not_affordable,not_recommended,none,,none,"Based on your current finances, the requested amount of INR 171,600.00 is not affordable and this method is not recommended. You can safely spend up to INR 33,943.54 today while maintaining your required minimum balance of INR 67,300.00."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"You can afford the requested USD 1,263.60 in full today, December 5, 2024, without needing any spending changes. This leaves you at your minimum balance of USD 1,700.00."
request_143,3029.63,affordable_later,wait,2025-05-15:12584,2025-05-15,none,"You cannot afford the requested ZAR 12,584.00 today while maintaining your minimum balance of ZAR 11,300.00, but you will be able to pay the full amount on 2025-05-15 without making any spending changes."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"The requested amount of USD 233.34 is fully affordable today without requiring any spending changes, leaving your minimum balance of USD 600.00 intact. The complete payment is scheduled for July 4, 2026."
request_145,0.0,not_affordable,not_recommended,none,,none,"The requested amount of INR 217,400.00 is currently not affordable and not recommended, as your safe amount today is INR 0.00. To maintain your required minimum balance of INR 155,400.00, no payment plan or spending changes are currently available to facilitate this expense."
request_146,16737.94,not_affordable,not_recommended,none,,none,"The requested amount of INR 449,400.00 is currently not affordable, and this purchase is not recommended. You can safely spend up to INR 16,737.94 today while maintaining your required minimum balance of INR 108,600.00."
request_147,544.68,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"The requested amount of EUR 1,129.70 is affordable using an installment plan of three monthly payments of EUR 391.63, beginning on April 8, 2026. This plan requires no spending changes and maintains your minimum balance of EUR 900.00."
request_148,9437.4,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. This leaves at least ZAR 20,000.00 available."
request_149,24480.44,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This leaves at least ZAR 42,100.00 available."
request_150,173.05,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-16. None of the available options keeps the EUR 700.00 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000.00 today. This keeps the IDR 31,633,600.00 minimum available over the next 90 days."
request_152,11476.82,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-03-15,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. This leaves at least ZAR 11,900.00 available."
request_153,280.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. None of the available options keeps the USD 1,400.00 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1,300.00 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500.00 today. This keeps the INR 56,300.00 minimum available over the next 90 days."
request_156,9643.53,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076.00 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 26,900.00 minimum."
request_157,5714318.34,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000.00 in full on 2024-05-15. Paying earlier would take the balance below the IDR 15,714,100.00 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This leaves at least INR 131,400.00 available."
request_159,7020.47,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. None of the available options keeps the ZAR 8,700.00 minimum protected."
request_160,572.22,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200.00 available."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400.00 minimum protected."
request_162,2504432.68,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24,161,100.00 minimum protected."
request_163,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the IDR 26,728,700.00 minimum protected."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240.00, starting 2025-02-11. This leaves at least IDR 29,550,500.00 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600.00 today. This keeps the INR 95,000.00 minimum available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 1,700.00 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802.00 today. This keeps the ZAR 31,200.00 minimum available over the next 90 days."
request_168,15309.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-16. None of the available options keeps the INR 114,400.00 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976.00 today. This keeps the ZAR 18,700.00 minimum available over the next 90 days."
request_170,31490182.96,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480.00, starting 2025-08-06. This leaves at least IDR 24,715,800.00 available."
request_171,61.24,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500.00 minimum protected.
request_172,9971.13,affordable_with_plan,partial_payment,2024-06-05:9971.13|2024-06-15:228.87,2024-06-15,none,"Pay ZAR 9,971.13 today and the remaining ZAR 228.87 on 2024-06-15. This completes the full request and keeps the ZAR 27,200.00 minimum protected."
request_173,68704.44,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-15,none,"Use 3 installments of INR 39,173.33, starting 2025-11-21. This leaves at least INR 79,100.00 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700.00 available."
